lon,lat,time,elevation,som,moisture,temp,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
142.1322046,-36.74417354,1/04/2022,129.2,2.46,32.65,25.29,1100,1410,1902,2098,2134,2271,2514,2615,4140,2934
142.1322258,-36.74416554,1/04/2022,129.2,2.45,32.45,25.36,1160,1390,1904,2098,2134,2271,2526,2615,4140,2934
142.132247,-36.74415774,1/04/2022,129.2,2.46,33.23,25.03,1084,1334,1788,1981,2124,2198,2334,2555,3950,2849
142.1322673,-36.74414842,1/04/2022,129.2,2.535,34.4,24.79,1084,1334,1788,1981,2124,2198,2334,2555,3950,2849
142.1322848,-36.74413312,1/04/2022,129.2,2.595,34.85,24.71,1084,1334,1788,1981,2124,2198,2334,2555,3950,2849
142.1323024,-36.74411394,1/04/2022,129.2,2.635,34.48,24.5,1084,1334,1788,1981,2124,2198,2334,2555,3950,2849
142.1323235,-36.74409842,1/04/2022,129.2,2.645,32.75,24.14,1084,1334,1788,1981,2124,2198,2334,2555,3950,2849
142.1323466,-36.7440901,1/04/2022,129.1,2.71,30.25,25.38,1090,1394,1814,1981,2124,2198,2376,2555,3950,2849
142.1323699,-36.74409181,1/04/2022,129.1,2.71,31.55,24.99,1090,1394,1814,1981,2124,2198,2376,2555,3950,2849
142.1323934,-36.74409793,1/04/2022,129.1,2.685,32.02,24.9,1090,1394,1814,1981,2124,2198,2376,2555,3950,2849
142.1324204,-36.74411499,1/04/2022,129.1,2.705,30.63,25.31,1090,1394,1814,1981,2124,2198,2376,2555,3950,2849
142.132449,-36.74412384,1/04/2022,129.1,2.765,30.52,25.21,1090,1394,1814,1981,2124,2198,2376,2555,3950,2849
142.1324799,-36.74412953,1/04/2022,129.1,2.72,30.88,24.07,1166,1386,1826,2090,2110,2258,2508,2540,3997,2843
142.132508,-36.74412833,1/04/2022,129.1,2.715,31.48,23.86,1166,1386,1826,2090,2110,2258,2508,2540,3997,2843
142.1325332,-36.74412227,1/04/2022,129.1,2.735,30.98,24.25,1166,1386,1826,2090,2110,2258,2508,2540,3997,2843
142.1325511,-36.74411002,1/04/2022,129.1,2.62,32.08,24.51,1166,1386,1826,2090,2110,2258,2508,2540,3997,2843
142.1325721,-36.74409991,1/04/2022,129.1,2.58,32.67,25.06,1078,1346,1810,2090,2110,2258,2358,2540,3997,2843
142.1325813,-36.74408137,1/04/2022,129.1,2.615,32.98,25.03,1078,1346,1810,2090,2110,2258,2358,2540,3997,2843
142.1325888,-36.74406053,1/04/2022,129.1,2.67,33.42,25.26,1080,1360,1892,2012,2175,2451,2448,2689,3811,2602
142.1326004,-36.74404187,1/04/2022,129.1,2.7,33.48,25.68,1080,1360,1892,2012,2175,2451,2448,2689,3811,2602
142.1326129,-36.74402285,1/04/2022,129.1,2.665,29.73,26.04,1080,1360,1892,2012,2175,2451,2448,2689,3811,2602
142.1326283,-36.74400399,1/04/2022,129.1,2.645,30.63,26.0,1080,1360,1892,2012,2175,2451,2448,2689,3811,2602
142.1326495,-36.74399474,1/04/2022,129.0,2.765,30.68,25.0,1080,1360,1892,2012,2175,2451,2448,2689,3811,2602
142.1326717,-36.74398734,1/04/2022,129.0,2.945,30.23,24.22,1080,1360,1892,2012,2175,2451,2448,2689,3811,2602
142.1326947,-36.74398179,1/04/2022,129.0,2.88,29.07,24.06,1040,1284,1772,2079,2130,2249,2432,2572,4104,2929
142.1327178,-36.74397592,1/04/2022,129.0,2.84,30.68,24.14,1066,1360,1810,2079,2130,2249,2504,2572,4104,2929
142.1327397,-36.74396792,1/04/2022,129.0,2.91,31.08,25.58,1066,1360,1810,2079,2130,2249,2504,2572,4104,2929
142.1327626,-36.74396174,1/04/2022,128.9,2.935,30.43,25.06,1066,1360,1810,2079,2130,2249,2504,2572,4104,2929
142.1327856,-36.74395514,1/04/2022,128.9,2.77,31.82,24.08,1066,1360,1810,2079,2130,2249,2504,2572,4104,2929
142.1328062,-36.74394504,1/04/2022,128.9,2.785,31.73,23.94,1062,1316,1822,2079,2130,2249,2412,2572,4104,2929
142.132829,-36.74393854,1/04/2022,128.9,2.74,30.58,24.85,1062,1316,1822,2079,2130,2249,2412,2572,4104,2929
