lat,lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
5934025.0,600885.0,683,973,1146,1440,1952,2111,2428,2297,2874,2051
5934025.0,600895.0,706,946,1138,1440,1952,2111,2206,2297,2874,2051
5934025.0,600905.0,660,840,975,1365,1777,1990,1792,2143,2762,1934
5934025.0,600915.0,646,805,918,1365,1777,1990,1698,2143,2762,1934
5934025.0,600925.0,653,846,982,1306,1745,1884,1906,1961,2730,1948
5934025.0,600935.0,652,919,1054,1306,1745,1884,2134,1961,2730,1948
5934025.0,600945.0,664,932,1094,1310,1714,1899,2014,2063,3062,2132
5934025.0,600955.0,689,910,1080,1310,1714,1899,1946,2063,3062,2132
5934025.0,600965.0,696,914,1190,1516,1748,1955,1930,2172,3405,2399
5934025.0,600975.0,797,1028,1358,1516,1748,1955,2092,2172,3405,2399
5934025.0,600985.0,865,1146,1528,1619,2046,2210,2320,2478,3436,2413
5934025.0,600995.0,770,1090,1404,1619,2046,2210,2446,2478,3436,2413
5934025.0,601005.0,842,990,1118,1484,1849,1936,2036,2202,2867,2042
5934025.0,601015.0,1470,1780,1668,1484,1849,1936,1792,2202,2867,2042
5934025.0,601025.0,794,1009,1300,1228,1488,1773,1854,1679,2571,1768
5934025.0,601035.0,472,614,814,1228,1488,1773,1544,1679,2571,1768
5934025.0,601045.0,182,305,400,1009,1919,2216,1286,2333,2529,1663
5934025.0,601055.0,486,726,890,1009,1919,2216,2718,2333,2529,1663
5934025.0,601065.0,650,968,1198,1765,2394,2635,2934,2926,3707,2673
5934025.0,601075.0,891,1294,1664,1765,2394,2635,2894,2926,3707,2673
5934025.0,601085.0,871,1182,1630,1889,2088,2249,2462,2581,4016,3010
5934025.0,601095.0,900,1140,1484,1889,2088,2249,2330,2581,4016,3010
5934025.0,601105.0,938,1194,1604,1750,1984,2117,2358,2397,4078,2867
5934025.0,601115.0,836,1076,1470,1750,1984,2117,2198,2397,4078,2867
5934025.0,601125.0,812,1072,1424,1703,1849,1992,2162,2255,4084,2829
5934025.0,601135.0,856,1088,1496,1703,1849,1992,2138,2255,4084,2829
5934025.0,601145.0,817,1060,1450,1620,1779,1940,2048,2188,4049,2825
5934025.0,601155.0,816,1058,1462,1620,1779,1940,2008,2188,4049,2825
5934025.0,601165.0,822,1068,1426,1639,1734,1898,2026,2164,4012,2786
5934025.0,601175.0,786,1028,1428,1639,1734,1898,2020,2164,4012,2786
5934025.0,601185.0,804,1022,1418,1621,1721,1865,2002,2151,4013,2795
5934025.0,601195.0,792,1028,1418,1621,1721,1865,2018,2151,4013,2795
5934025.0,601205.0,792,1016,1408,1571,1681,1813,1986,2086,3976,2786
5934025.0,601215.0,760,990,1338,1571,1681,1813,1968,2086,3976,2786
5934025.0,601225.0,750,998,1348,1528,1630,1760,1944,2038,3914,2751
5934025.0,601235.0,764,968,1332,1528,1630,1760,1884,2038,3914,2751
5934025.0,601245.0,756,976,1368,1545,1633,1787,1920,2068,3929,2741
5934025.0,601255.0,759,974,1390,1545,1633,1787,1948,2068,3929,2741
5934025.0,601265.0,784,1016,1398,1575,1680,1833,1968,2090,3936,2732
